skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Iron Maiden	76	nec	iron maiden		30																		3		ironmaiden	ln34	ln12													domeleedamage	4																																													necromancer_curse_cast														18	30						curseironmaiden		cursecast										1	9		none												SC	SC	S2					4															1									12	20					Amplify Damage									0	1					1	8	5	0	1											ln56	Damage % Returned VS Monster	ln56/4	% Damage To Return VS Player	ln56/4	% Damage To Return VS Hireling	0	Flat Damage Added					7	Radius baseline	0	Radius per level	300	Duration baseline	60	Duration per level	200	Damage % returned baseline	25	Damage % returned per level													1				16385		141		8																																				512	8000	0
Terror	77	nec	terror		30																		2		terror	ln34	ln12																																																											necromancer_curse_cast														18	30						curseterror		cursecast										1	0		none												SC	SC	xx					4															1						necromancer_curse_cast			12	20					Weaken									0	1					1	8	7	0	1																							4	Radius baseline	0	Radius per level	200	Duration baseline	25	Duration per level	24	Distance To Run baseline	2	Distance To Run per level													1								8																																				512	8000	0
Bone Wall	78	nec	bone wall		60													bonewallmaker																																																			bonewall	none		S1														necromancer_bone_cast														22																			1	0		none												SC	SC	xx					4															1						necromancer_bone_cast			12	20					Bone Armor									0	1					1	8	17	0	1											(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)	HP % Modifier	ln34	(# of Wall Missiles created per side) / 2									25	HP % per level	600	Duration	8	# of Wall Missiles created baseline	0	# of Wall Missiles created per level							10	HP % synergy									1								8																																				512	8000	0
Golem Mastery	79	nec	golem mastery																																											golem_mastery																																																																									1	0		none												SC	SC	xx																													12	20					Clay Golem									0	0					0	8	0	0	1								1															20	HP % baseline	20	HP % per level	0	Velocity % Min	40	Velocity % Max	25	Attack Rating baseline	25	Attack Rating per level													1								8																																				512	8000	0
Raise Skeletal Mage	80	nec	raise skeletal mage	15	31																							armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																				maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256																			necromage	skeletonmage	(lvl < 4) ?lvl:(2+lvl/3)	S1	NecromageMissile	skill('Skeleton Mastery'.lvl) + ((lvl < 4)?0:((lvl-2)/2))											1	necromancer_golem_cast														20	31						corpseexplosion												1	0		none												SC	SC	xx								1		2	1																		12	20					Raise Skeleton									0	1					1	8	8	1	1											(lvl < 4) ? 0 : (par2 * (lvl - 3))	HP % Modifier													10	HP % per level					10	Armor per level															1								8																																				512	8000	0
Confuse	81	nec	confuse		61																		2		confuse	ln34	ln12																																																											necromancer_curse_cast														18	30						curseconfuse		cursecast										1	0		none												SC	SC	xx					4															1						necromancer_curse_cast			18	20					Dim Vision									0	1					1	8	13	0	1																							6	Radius baseline	1	Radius per level	250	Duration baseline	50	Duration per level																	1								8																																				640	16000	0
Life Tap	82	nec	life tap		30																		3		lifetap	ln34	ln12													damagedinmelee	5	damagedbymissile	5																																											necromancer_curse_cast									steallife					18	30						cursereversevampire		cursecast										1	4		none												SC	SC	S2					4															1						necromancer_curse_cast			18	20					Iron Maiden									0	1					1	8	9	0	1											ln56	Damage % returned as healing to attacker											4	Radius baseline	1	Radius per level	400	Duration baseline	60	Duration per level	50	Damage % returned as healing to attacker baseline	0	Damage % returned as healing to attacker per level													1								8																																				640	16000	0
Poison Explosion	83	nec	poison explosion	17	63													poisonexplosioncloud									ln34																																																										1	necromancer_corpse_cast								necromancer_corpseexp_1						21	33						poisoncorpseexplosion	poisonexplosioncloud	greenlightmissile										1	0		none												SC	SC	xx								1		1	1									1			3		1	necromancer_corpse_cast			18	20					Poison Dagger	Corpse Explosion								0	1					1	8	8	0	1																																					15	Damage synergy									1								4															pois	8	2	4	6	8	10	24	2	4	6	8	10	(skill('Poison Dagger'.blvl)+skill('Poison Nova'.blvl))*par8	50	10	10	10				640	16000	0
Bone Spear	84	nec	bone spear												bonespear																																																																							necromancer_bone_cast														19						bonespear			bonecast										1	6		none												SC	SC	xx																	1			1						necromancer_bone_cast			18	20					Corpse Explosion									1	1					1	6	28	1	1																																					8	Damage synergy									1								8															mag	16	8	9	12	18	24	24	8	9	13	19	25	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8								640	16000	0
BloodGolem	85	nec	bloodgolem		56																																			domeleedamage	23	damagedinmelee	26	damagedbymissile	26				velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	damagepercent	par4 * (lvl - 1) + (skill('FireGolem'.blvl)*skill('FireGolem'.par8))	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)													BloodGolem	golem	1	S1														necromancer_golem_cast																																	1	5		none												SC	SC	xx					4																								18	20					Clay Golem									0	1					1	8	25	3	1	1										(100 + (par7 * (lvl - 1)))*(100 + skill('Golem Mastery'.ln12))/100 - 100	HP % Modifier	dm12	Lifesteal %	par3	Lifesteal % transferred to caster							75	Lifesteal % Min	150	Lifesteal % Max	30	Lifesteal % transferred to caster	55	Damage % per level	0	Damage Received % transferred to caster	25	Caster Healing % transferred to golem	20	HP % per level	5	Blood Golem HP % synergy									1								8																																				640	16000	0
Attract	86	nec	attract	18	59																		2		attract	ln34	ln12																																																											necromancer_curse_cast														18	30						curseattract		cursecast										1	0		none												SC	SC	xx					4			1												1									24	20					Confuse									0	1					1	8	17	0	1																							9	Radius baseline	0	Radius per level	300	Duration baseline	90	Duration per level																	1								8																																				768	32000	0
Decrepify	87	nec	decrepify		30																		3		decrepify	ln34	ln12	velocitypercent	par5	damagepercent	par5	damageresist	par5	attackrate	par5																																																			necromancer_curse_cast														18	30						cursedecrepify		cursecast										1	9		none												SC	SC	S2					4															1						necromancer_curse_cast			24	20					Terror									0	1					1	8	11	0	1																							6	Radius baseline	0	Radius per level	100	Duration baseline	15	Duration per level	-50	Slow % / Damage Dealt % / Damage Resistance %															1								8																																				768	32000	0
Bone Prison	88	nec	bone prison	19	62																																																																bonewall	none		NU														necromancer_bone_cast														22																			1	10		none												SC	SC	xx					4			1												1				1		necromancer_bone_cast			24	20					Bone Wall	Bone Spear								0	1					1	8	27	-1	1											(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)	HP % Modifier											25	HP % per level	600	Duration											8	HP % synergy									1								8																																				768	32000	0
Summon Resist	89	nec	summon resist																																											summonresist			passive_summon_resist	dm12																																																																					1	6		none												SC	SC	xx																													24	20					Golem Mastery									0	0					1	8	44	-3	1								1															20	Resistance % Min	75	Resistance % Max																					1								8																																				768	32000	0
IronGolem	90	nec	irongolem	20	57																			thorns				item_attackertakesdamage	edmn	fade	16																		velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	lvl*par8	damagepercent	(skill('FireGolem'.blvl)*skill('FireGolem'.par8))				stat('item_pierce_fire_immunity'.accr)	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	item_pierce_poison_immunity	stat('item_pierce_poison_immunity'.accr)	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)	item_pierce_magic_immunity	stat('item_pierce_magic_immunity'.accr)	IronGolem	golem	1	S1													1	necromancer_golem_cast														23																			1	5		none												SC	SC	xx					4			1						1															24	20					BloodGolem									0	1					1	8	35	0	1	1										skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	HP % Modifier																									35	Iron Golem Armor synergy									1								8																15	6	12	18	24	30															768	32000	0
Lower Resist	91	nec	lower resist		30																		3		lowerresist	ln34	ln12	fireresist	-dm56	lightresist	-dm56	coldresist	-dm56	poisonresist	-dm56																																																			necromancer_curse_cast														18	30						curselowerresist		cursecast										1	8		none												SC	SC	S2					4															1						necromancer_curse_cast			30	20					Life Tap	Decrepify								0	1					1	8	22	0	1																							7	Radius baseline	1	Radius per level	500	Duration baseline	50	Duration per level	25	Resistance % reduction Min	70	Resistance % reduction Max													1								8																																				896	64000	0
Poison Nova	92	nec	poison nova		22													poisonnova																																																																				necromancer_poison_cast															25						poisonnova				0	Missile Velocity Adder							1	3		none												SC	SC	xx																	1			1						necromancer_poison_cast			30	20					Poison Explosion									0	1					1	8	20	0	1											0	Missile Velocity Adder																									10	Damage synergy									1								4															pois	16	4	6	9	14	16	29	4	6	9	14	16	(skill('Poison Dagger'.blvl)+skill('Poison Explosion'.blvl))*par8	50							896	64000	0
Bone Spirit	93	nec	bone spirit		10													bonespirit	bonespirit																																																																			necromancer_bone_cast															18						bonespirit												1	7		none												SC	SC	xx																	1			1			4			necromancer_bone_cast			30	20					Bone Spear									1	1					1	7	24	1	1											0	Damage %																									8	Damage synergy									1								8															mag	20	16	17	18	19	20	30	17	18	19	20	21	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spear'.blvl))*par8								896	64000	0
FireGolem	94	nec	firegolem		56													monstercorpseexplode										fireresist	100 - dm12	item_absorbfire_percent	dm12	firemindam	edmn	firemaxdam	edmx														velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)															FireGolem	golem	1	S1	holy fire	"min(ln56,30)"												necromancer_golem_cast																																	1	6		none												SC	SC	xx					4															1									30	20					IronGolem									0	1					1	8	50	8	1	1										skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	HP % Modifier	100	Death Explosion Physical Damage	100	Death Explosion Fire Damage	6	Death Explosion Radius					25	Fire Absorb % Min	100	Fire Absorb % Max	100	Damage % baseline	35	Damage % per level	7	Holy Fire Level baseline	1	Holy Fire Level increased per level			6	Fire Golem Damage % synergy									1								8															fire	10	9	10	11	12	13	27	10	11	12	13	14									896	64000	0
Revive	95	nec	revive	21	58																							damagepercent	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)																				velocitypercent	par5										stat('item_pierce_damage_immunity'.accr)	item_pierce_magic_immunity	stat('item_pierce_magic_immunity'.accr)								revive	lvl	NU													1	necromancer_revive_cast								necromancer_revive_target						24							revivemedium	revivesmall	revivelarge										1	6		none												SC	SC	xx					4			1		3	1																		30	20					Raise Skeletal Mage	IronGolem								0	1					1	8	45	0	1											par1+skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)	HP % Modifier	ln34	Duration									200	HP %			999999	Duration baseline	0	Duration per level	50	Velocity %															1								8																																				896	64000	0
Sacrifice	96	pal	sacrifice	29	64																																																																																	paladin_sacrifice		1													34						blood1				3	Random Bonus Range for Blood missile							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1		1												1	20														1	1					0	8	0	0	1											ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7	Damage %	"max(par6, par5-lvl/par3)"	Self Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					180	Damage % baseline	15	Damage % per level	3	Self Damage Reduction per level (1/#)	0	Self Damage Minimum Flat Value	8	Self Damage % baseline	1	Self Damage % min	5	Damage synergy	15	Damage synergy									1	20	7						8	128																																			256	1000	0
Smite	97	pal	smite		150																																																																																	weapon_2hs_large_1		1																															1	9		h2h	4	shld										S1	S1	xx				1		1	1								1		1												1	20														1	1					1	8	2	0												ln34	Damage %	"min(ln12,250)"	Stun Length			0	% Damage Dealt as Elemental (Used only if there is an Etype)					15	Stun Length baseline	5	Stun Length per level	15	Damage % baseline	15	Damage % per level																	1				8				8																																				256	1000	0
Might	98	pal	might		65																		73731	might	might		ln12*2	damagepercent	ln34																																																																																									1	1	9		none														xx																													1	20														0	1					1	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	40	Damage % baseline	10	Damage % per level																	1								8																																				256	1000	0
Prayer	99	pal	prayer		65																		73731	prayer	prayer		ln12*2	hitpoints	edns																																																																																										1	7		none														xx																													1	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level																					1								8																2	1	1	2	2	3															256	1000	0
Resist Fire	100	pal	resist fire		65																		73731	resistfire	resistfire		ln12	fireresist	dm34	maxfireresist	skill('Resist Fire'.blvl)															passive_resistfire			maxfireresist	skill('Resist Fire'.blvl)/2																																																																				1	1	8		none														xx																													1	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	35	Resistance % Min	150	Resistance % Max																	1								8																																				256	1000	0
Holy Bolt	101	pal	holy bolt												holybolt																																																																							paladin_holybolt_cast											cast_undead									holybolt													1	7		none												SC	SC	xx												1	1				1			1						paladin_holybolt_cast	cast_undead		6	20														1	1					1	4	32	1	1											ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	HP Heal Min value	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	HP Heal Max value									1	HP Heal Min baseline	2	HP Heal Min per level	6	HP Heal Max baseline	4	HP Heal Max per level					20	Healing synergy	50	Damage synergy									1								8															mag	8	8	10	13	16	20	16	8	11	15	18	23	skill('Fist of the Heavens'.blvl)*par8								384	3000	0
Holy Fire	102	pal	holy fire		66																		42883	holyfire			ln12																						firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																																			1	0		none														xx																													6	20					Might									0	1					0	8	0	0	1	1	1		50																			6	Radius baseline	1	Radius per level					6	Damage multiplier added to Attacks	100	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	10	Damage synergy	21	Damage synergy									1				16385				7															fire	2	1	4	6	7	8	6	2	5	7	8	9	skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7								384	3000	0
Thorns	103	pal	thorns		65																		73731	thorns	thorns		ln12	item_attackertakesdamage	edmn	thorns_percent	ln34																																																																																								1	9		none														xx																													6	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	250	Damage % returned baseline	40	Damage % returned per level																	1								8																4	4	8	12	16	20															384	3000	0
Defiance	104	pal	defiance		65																		73731	defiance	defiance		ln12	skill_armor_percent	ln34																																																																																									1	1	4		none														xx																													6	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	70	Armor % baseline	10	Armor % per level																	1								8																																				384	3000	0
Resist Cold	105	pal	resist cold		65																		73731	resistcold	resistcold		ln12	coldresist	dm34	maxcoldresist	skill('Resist Cold'.blvl)															passive_resistcold			maxcoldresist	skill('Resist Cold'.blvl)/2																																																																				1	1	6		none														xx																													6	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	35	Resistance % Min	150	Resistance % Max																	1								8																																				384	3000	0
Zeal	106	pal	zeal	37	13																																																																																1	paladin_zeal														53	21																		1	2		h2h		mele										A1	A1	xx						1	1								1		1												12	20					Sacrifice									1	1					1	8	2	0												"min((par5 + lvl -1), par6)"	# of hits	((lvl < 5) ? 0 : ((lvl-4) * par4))+skill('Sacrifice'.blvl)*par8	Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)							100	% Anim frame rollback	0	Damage % baseline	6	Damage % per level	2	# of hits Min	5	# of hits Max			12	Damage synergy									1	10	10						8	128																																			512	8000	0
Charge	107	pal	charge	31	67																																																																																1	paladin_charge														25	37																		1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1		1												12	20					Smite									1	1					1	8	9	0												ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	Damage %	par1	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			100	Damage % baseline	25	Damage % per level							20	Damage synergy									1	50	15						8	128																																			512	8000	0
Concentration	113	pal	concentration		65																		73731	concentration	concentration		ln12*2	damagepercent	ln34	skill_concentration	par5																																																																																							1	1	6		none														xx																													18	20					Blessed Aim									0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	60	Damage % baseline	15	Damage % per level	20	% chance for uninterruptible attack															1								8																																				640	16000	0
Cleansing	109	pal	cleansing		65																		73731	cleansing	cleansing		ln12*2	item_poisonlengthresist	100-dm34	hitpoints	skill('Prayer'.edns)																																																																																								1	3		none														xx																													12	20					Prayer									0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	30	Poison Length % Reduction Min	90	Poison Length % Reduction Max																	1								8																																				512	8000	0
Resist Lightning	110	pal	resist lightning		65																		73731	resistlight	resistlight		ln12*2	lightresist	dm34	maxlightresist	skill('Resist Lightning'.blvl)															passive_resistltng			maxlightresist	skill('Resist Lightning'.blvl)/2																																																																				1	1	6		none														xx																													12	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	35	Resistance % Min	150	Resistance % Max																	1								8																																				512	8000	0
Vengeance	111	pal	vengeance	35	2																																																																																																																		1	3		h2h		mele										A1	A1	xx				1		1	1								1		1												18	20					Zeal									1	1					1	6	16	1	1											ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7	Fire Damage %	ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7	Cold Damage %	ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7	Lightning Damage %							70	Damage % baseline	6	Damage % per level									2	Damage synergy	10	Damage synergy									1	20	10						8	128														cold														30	15	15	15				640	16000	0
Blessed Hammer	112	pal	blessed hammer		73													blessedhammer																																																																				paladin_holybolt_cast															35						blessedhammer												1	2		none												SC	SC	xx																	1			1						paladin_holybolt_cast			18	20					Holy Bolt									1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)													14	Damage synergy									1								8															mag	12	8	10	12	13	14	16	8	10	12	13	14	(skill('Vigor'.blvl)+skill('Blessed Aim'.blvl))*par8								640	16000	0
Blessed Aim	108	pal	blessed aim		65																		73731	blessedaim	blessedaim		ln12*2	item_tohit_percent	ln34																	penetrate			item_tohit_percent	skill('Blessed Aim'.blvl) * par8																																																																				1	1	6		none														xx																													12	20					Might									0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	75	Attack Rating % baseline	15	Attack Rating % per level							5	Attack Rating % passive synergy									1								8																																				512	8000	0
Holy Freeze	114	pal	holy freeze		81																		303747	holywind	holywindcold		ln12*2	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																																			1	8		none														xx																													18	20					Holy Fire									0	1					0	8	0	0	1	1	1		50																			6	Radius baseline	1	Radius per level	25	Slow % Min	60	Slow % Max	5	Damage multiplier added to Attacks	100	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy	15	Damage synergy									1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5	skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7								640	16000	0
Vigor	115	pal	vigor		65																		73731	stamina	stamina		ln12*2	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																																					1	1	1		none														xx																													18	20					Cleansing	Defiance								0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	3	Radius per level	50	Stamina % baseline	25	Stamina % per level	7	Velocity % Min	50	Velocity % Max													1								8																																				640	16000	0
Conversion	116	pal	conversion	32	79																				conversion	ln12																																																																																													1	0		h2h		mele										A1	A1	xx				1		1	1								1														24	20					Vengeance									1	1					1	8	4	0	1											dm34	% chance to convert	0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					400	Duration baseline	0	Duration per level	0	% chance to convert Min	90	% chance to convert Max	0	"Use sumskill1 on convert expire? (0 = Off | 1 = On) (If 1, then it needs to have ItemEffect=1)"															1								8	128																																			768	32000	0
Holy Shield	117	pal	holy shield	36	18																			holyshield		ln12		toblock	dm56		ln34+skill('Defiance'.blvl)*par8																																																							paladin_holyshield																																	1	3		none		shld										SC	SC	xx															1														24	20					Charge	Blessed Hammer								0	1					1	8	35	0	1	1										ln34+skill('Defiance'.blvl)*par8	Armor %											999999	Duration baseline	625	Duration per level	25	Armor % baseline	15	Armor % per level	10	Block % chance Min	40	Black % chance Max			15	Armor synergy									1								8		3	2	3	4	4	4	6	2	3	4	4	4																							768	32000	0
Holy Shock	118	pal	holy shock		66																		42883	holyshock			ln12*2																						lightmindam	1	lightmaxdam	exms*par5/256																																																																			1	4		none														xx																													24	20					Holy Freeze									0	1					0	8	0	0	1	1	1		50																			6	Radius baseline	1	Radius per level					6	Damage multiplier added to Attacks	100	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	4	Damage synergy	12	Damage synergy									1				16385				8															ltng	1						10	6	8	10	12	15	skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7								768	32000	0
Sanctuary	119	pal	sanctuary		66																		59270	sanctuary			ln12*2																						item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																											cast_undead										sanctuarybolt												1	0		none														xx																				1									24	20					Thorns	Holy Freeze								0	1					1	8	1	0	1	1	1		50																			5	Radius baseline	1	Radius per level	150	Damage to Undead % baseline	30	Damage to Undead % per level	100	Attack Rating to Undead baseline	50	Attack Rating to Undead per level	100	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy									1				11		157		8															mag	8	4	4	5	5	6	16	4	5	6	6	7	skill('Cleansing'.blvl)*par8								768	32000	0
Meditation	120	pal	meditation		65																		73729	meditation	meditation		ln12*2	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																								1	7		none														xx																													24	20					Cleansing									0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	300	Mana Recovery % baseline	25	Mana Recovery % per level																	1								8																																				768	32000	0
Fist of the Heavens	121	pal	fist of the heavens		80													fistoftheheavensdelay				handofgod	42371				20																																																											paladin_handofgod_cast															36						fistoftheheavensdelay												1	7		none												SC	SC	xx					4	1		1									1			1			4						30	20					Blessed Hammer	Conversion								1	1					1	8	25	0	1											ln34	Heal Min value	ln56	Heal Max value			ln12	# of Holy Bolt missiles created					6	# of Holy Bolt Missiles created baseline	1	# of Holy Bolt Missiles created per level	1	Min HP Healed baseline	2	Min HP Healed per level	6	Max HP Healed baseline	2	Max HP Healed per level	7		7	Damage synergy									1								8															ltng	150	15	30	45	55	65	200	15	30	45	55	65	skill('Holy Shock'.blvl)*par8								896	64000	0
Fanaticism	122	pal	fanaticism		65																		73731	fanaticism	fanaticism		ln12*2	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2																damagepercent	ln56																																																																				1	1	8		none														S1																													30	20					Concentration									0	1					0	8	0	0	1	1	1		50																			11	Radius baseline	1	Radius per level	10	Attack Speed % Min	40	Attack Speed % Max	50	Damage % baseline	17	Damage % per level													1	40	5						8																																				896	64000	0
Conviction	123	pal	conviction		66																		42371	conviction	conviction		ln12*2	skill_armor_percent	-dm56	fireresist	-min(ln34,150)	coldresist	-min(ln34,150)	lightresist	-min(ln34,150)																																																																																				1	6		none														xx	5		1																										30	20					Sanctuary									0	1					0	8	0	0	1	1	1		50																			20	Radius baseline	0	Radius per level	30	Resistance % reduction baseline	5	Resistance % reduction per level	40	Armor % reduction Min	100	Armor % reduction Max													1								8																																				896	64000	0
Redemption	124	pal	redemption		82																		4354	redemption			ln12*2																																																																																redemption												1	0		none														xx																													30	20					Vigor									0	1					0	8	0	0	1	1	1		50							dm34	% chance to redeem	ln56	HP gained	ln56	Mana gained							16	Radius baseline	0	Radius per level	10	% chance to redeem Min	100	% chance to redeem Max	25	HP and Mana gained baseline	5	HP and Mana gained per level													1								8																																				896	64000	0
Salvation	125	pal	salvation		65																		73731	resistall	resistall		ln12*2	fireresist	dm34	coldresist	dm34	lightresist	dm34																																																																																					1	1	8		none														xx																													30	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	50	Resistance % Min	120	Resistance % Max																	1								8																																				896	64000	0
