overlay	*ID	Filename	version	*Frames	Character	PreDraw	1ofN	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood	WeaponStateFlags	WeaponStateGroup	StartSound
ice_cast_3	33	IceCastNew03	0	15	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	81	81	255	1	0			
light_cast_1	34	LightningCast	0	10	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	255	255	255	1	0			
fire_explode	35	FireExplode	0	12	common	0	1	0	0	0	0	0	0	16	0	3	14	14	255	193	103	1	0			
ice_explode	36	IceExplode	0	16	common	0	1	0	0	0	0	0	0	16	0	3	14	14	210	210	255	1	0			
warmth	37	Warmth	0	14	common	0	1	0	0	0	0	0	0	16	0	3	1	8	255	193	103	1	0			
frozenarmor	38	FrozenArmor	0	24	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	13	200	200	255	1	0			
shiverarmor	39	FrozenArmor	0	24	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	13	200	200	255	1	0			
chillarmor	40	FrozenArmor	0	24	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	13	200	200	255	1	0			
cast_shivers	41	AuraResistColdCast	0	11	sorceress	1	1	0	0	14	0	-14	-60	24	0	3	1	6	81	81	255	1	0			
frozenarmor_hit	42	AuraResistColdCast	0	11	sorceress	1	1	0	0	14	0	-14	-60	24	0	3	1	6	81	81	255	1	0			
shiverarmor_hit	43	AuraResistColdCast	0	11	sorceress	1	1	0	0	14	0	-14	-60	24	0	3	1	6	81	81	255	1	0			
chillarmor_hit	44	AuraResistColdCast	0	11	sorceress	1	1	0	0	14	0	-14	-60	24	0	3	1	6	81	81	255	1	0			
teleport	45	Teleport	0	18	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	5	255	255	200	1	0			
srfirehit	46	SRFireHit	0	16	sorceress	0	1	0	0	0	0	0	0	16	0	3	0	0	255	193	103	1	0			
cast_innersight	47	EOZCast	0	29	amazon	0	1	0	0	0	0	0	0	16	0	3	1	6	255	255	255	1	0			
innersight	48	HardenArmor	0	24	amazon	0	1	0	0	0	0	0	0	16	0	3	6	6	255	255	255	1	0			
cast_slowmissiles	49	HOAcast	0	21	amazon	0	1	0	0	0	0	0	0	16	0	3	1	6	255	255	255	1	0			
handofathena	50	HOAmissileExplode	0	9	amazon	0	1	0	0	0	0	0	0	16	0	3	2	2	255	255	255	1	0			
cast_fistofares	51	FOACast	0	20	amazon	0	1	0	0	0	0	0	0	16	0	3	1	6	255	255	255	1	0			
durieldead_fwd	52	DurielBloodsplatOverlayFwd	0	26	common	1	1	0	0	0	0	0	0	8	0	5	0	0	255	255	255	1	1			
cast_familiar	53	FamiliarCast	0	21	necro	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
doubledamage1	54	impacting01	0	4	common	0	3	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
doubledamage2	55	impacting02	0	4	common	0	2	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
doubledamage3	56	impacting03	0	4	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
shrine_shimmer00	57	ShrineShimmer00	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_shimmer01	58	ShrineShimmer01	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_armor	59	ShrineArmor	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_combat	60	ShrineCombat	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_resist_lightning	61	ShrineResistLightning	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_resist_fire	62	ShrineResistFire	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_resist_cold	63	ShrineResistCold	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_resist_poison	64	ShrineResistPoison	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_skill	65	ShrineSkill	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_mana_regen	66	ShrineManaRegen	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_stamina	67	ShrineStamina	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
shrine_experience	68	ShrineExperience	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	255	255	255	1	0			
curse_hit	69	CurseHit	0	10	common	0	1	0	0	0	0	0	0	16	0	3	1	10	255	193	103	1	0			
itemgleam	70	Gleam	0	8	item	0	1	0	0	0	0	0	0	16	4000	3	0	0	255	255	255	1	0			
multigleam	71	multigleam	0	10	objects	0	1	0	0	0	0	0	0	10	4000	3	0	0	255	255	255	1	0			
npcalert	72	NPCSpeechBalloon	0	16	npcs	0	1	-5	-7	-30	0	0	-50	9	7000	3	0	0	255	255	255	1	0			
gleamtest3	73	Gleam	0	8	test	0	1	10	-14	0	0	0	0	11	4000	3	0	0	255	255	255	1	0			
gleamtest4	74	Gleam	0	8	test	0	1	-10	-12	0	0	0	0	12	4000	3	0	0	255	255	255	1	0			
shoutstart	75	ShoutStart	0	20	common	0	1	0	0	0	0	0	0	8	0	3	1	6	255	255	255	1	0			
shout	76	Shout	0	20	common	0	1	0	0	0	0	0	0	8	0	3	1	6	255	255	255	1	0			
taunt	77	CurseConfuseEffect	0	24	common	0	1	0	0	0	0	0	0	16	0	3	1	6	255	193	103	1	0			
zakarumpriest_death	78	Zakarum_Priest_DeathGlow	0	24	common	0	1	0	0	0	0	0	0	8	0	3	2	2	103	193	255	1	0			
thornedhulk_death	79	ThornedHulkDeathOverlay	0	25	common	0	1	0	0	0	0	0	0	16	0	3	2	2	255	193	103	1	0			
dust	80	BAJumpLandPuff01	0	8	common	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
fire_hit	81	FireHit	0	8	common	0	1	0	0	0	0	0	0	16	0	3	3	1	255	193	103	1	0			
frogdemon_death	82	FrogExplode	0	14	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
fetish_aura	83	FetishFreakOut	0	16	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
brraisefront	84	brraisedeadfront	0	16	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
brraiseback	85	brraisedeadback	0	16	common	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
energyshield	86	ManaShieldBall	0	8	sorceress	0	1	0	0	0	0	0	0	8	0	5	0	0	255	255	255	1	0			
energyshieldhit0	87	ManaShieldDir00	0	9	sorceress	0	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit1	88	ManaShieldDir02	0	9	sorceress	0	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit2	89	ManaShieldDir04	0	9	sorceress	0	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit3	90	ManaShieldDir06	0	9	sorceress	1	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit4	91	ManaShieldDir08	0	9	sorceress	1	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit5	92	ManaShieldDir10	0	9	sorceress	1	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit6	93	ManaShieldDir12	0	9	sorceress	0	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
energyshieldhit7	94	ManaShieldDir14	0	9	sorceress	0	1	0	0	0	0	0	0	16	0	3	3	3	255	255	255	1	0			
chillblood	95	ChillBloodPuff_curse	0	14	common	1	1	0	0	14	0	-14	-60	16	0	3	3	3	81	81	255	1	0			
thunderstormfront	96	null	0	2	sorceress	0	1	0	0	0	0	0	0	16	0	3	8	8	255	255	255	1	0			
thunderstormback	97	ThunderstormCast_operate	0	19	sorceress	1	1	0	0	0	0	0	0	16	0	3	8	8	255	255	255	1	0			
thunderstormcast	98	ThunderstormCast	0	10	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	8	255	255	255	1	0			
blessedaimfront	99	BlessedAim_front	0	10	paladin	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
blessedaimback	100	BlessedAim_back	0	10	paladin	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
staminafront	101	Stamina_front	0	16	paladin	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
staminaback	102	Stamina_back	0	16	paladin	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
concentrationfront	103	Concentration_front	0	10	paladin	0	1	0	0	0	0	0	0	3	0	3	0	0	255	255	255	1	0			
concentrationback	104	Concentration_back	0	10	paladin	1	1	0	0	0	0	0	0	3	0	3	0	0	255	255	255	1	0			
holyfreeze	105	HolyFreeze	0	15	paladin	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
cleansingfront	106	Cleansing_front	0	16	paladin	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
cleansingback	107	Cleansing_back	0	16	paladin	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
holyshockfront	108	HolyShock_front	0	14	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
holyshockback	109	HolyShock_back	0	14	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
holyshockhit	110	ShockHitSm	0	20	common	0	1	0	0	14	0	-14	-60	16	0	3	11	11	255	255	255	1	0			
sanctuaryfront	111	SanctuaryAura_Front	0	12	paladin	1	1	0	-1	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
sanctuaryback	112	SanctuaryAura_Back	0	12	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
sanctuaryknockback	113	SanctuaryKnockback	0	13	common	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
meditationfront	114	Meditation	0	13	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
meditationback	115	null	0	2	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
fanaticismfront	116	Fanatacism_Front	0	30	paladin	0	1	0	-1	0	0	0	0	6	0	3	0	0	255	255	255	1	0			
fanaticismback	117	Fanatacism_Back	0	30	paladin	1	1	0	0	0	0	0	0	6	0	3	0	0	255	255	255	1	0			
redemptionfront	118	null	0	2	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
redemptionback	119	Redemption	0	12	paladin	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
convictionfront	120	null	0	2	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
convictionback	121	Conviction	0	21	common	1	1	0	0	0	0	0	0	6	0	3	0	0	255	255	255	1	0			
mephisto	122	MephistoOverlay	0	26	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
conversioncast	123	AuraResistColdBackCast	0	11	monster	0	1	0	0	14	0	-14	-60	16	0	3	1	10	210	210	255	1	0			
conversionaura	124	Conversion	0	10	monster	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
charge	125	Charge	0	8	paladin	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
fingermagespiderexplode	126	FingerMageSpiderXplode	0	6	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
fingermagecurse	127	FingerMageCurse	0	15	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
curseamplifydamage	128	CurseAmplifyDamageEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	255	64	64	1	0			
cursedimvision	129	CurseDimVisionEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	255	210	210	1	0			
curseweaken	130	CurseWeakenEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	255	210	210	1	0			
curseironmaiden	131	CurseIronMaidenEffect	0	29	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	255	0	0	1	0			
curseterror	132	CurseTerrorEffect	0	20	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
curseattract	133	CurseAttractHarmEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	255	0	0	1	0			
cursereversevampire	134	CurseReverseVampireEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	0	0	0	1	0			
curseconfuse	135	CurseConfuseEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	0	255	0	1	0			
cursedecrepify	136	CurseDecrepifyEffect	0	24	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	0	0	255	1	0			
curselowerresist	137	CurseLowerResistEffect	0	29	common	0	1	0	0	14	0	-14	-60	16	0	3	1	6	0	0	255	1	0			
hit_ironmaiden	138	AuraThornsHit	0	10	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
hit_reversevampire	139	CurseRevVampireHit	0	13	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
bonearmor_cast	140	BoneShieldEmerge	0	12	necro	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
bonearmor_front	141	BoneShieldFront	0	24	necro	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
bonearmor_back	142	BoneShieldBack	0	24	necro	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
bonearmor_null1	143	null	0	2	necro	0	1	0	0	0	0	0	0	4	0	3	0	0	0	0	0	1	0			
bonearmor_null2	144	null	0	2	necro	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0			
diablolightning	145	RedShockEffectSmall	0	20	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
vulturedemonfeathers	146	vdfeathers	0	26	monster	0	1	0	0	0	0	0	0	16	0	5	2	2	255	255	255	4	0			
bash	147	BABash	0	9	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	0	0	0	1	0			
stun	148	Stun	0	12	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	0	0	0	1	0			
battlecry	149	BattleCry	0	15	common	0	1	0	0	14	0	-14	-60	8	0	3	0	0	0	0	0	1	0			
sricehit	150	SRIceHit	0	16	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	103	193	255	1	0			
steallife	151	CurseRevVampireHit	0	13	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
stealmana	152	VampiricHitMana	0	13	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
enchant	153	FireEnchant	0	17	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	255	178	64	1	0			
battleorderscast	154	BattleOrdersStart	0	11	common	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
battleorders	155	BattleOrders	0	20	common	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
durieldead_rear	156	DurielBloodsplatOverlayRear	0	26	common	1	1	0	0	0	0	0	0	8	0	5	0	0	255	255	255	1	1			
tentacleheadbloodripple	157	BloodRipple	0	16	monster	0	1	0	0	0	0	0	0	8	0	8	2	2	0	0	0	1	1			
handofgod	158	HolyShockHit	0	21	common	0	1	0	0	0	0	0	0	16	0	3	2	2	255	255	255	1	0			
battlecommandcast	159	BattleCommandStart	0	20	common	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
battlecommand	160	BattleCommand	0	20	common	0	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
berserkfront	161	BerserkOverlay	0	24	barbarian	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
berserkback	162	null	0	2	barbarian	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
frenzy	163	Frenzy	0	25	barbarian	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
firegolem	164	FireGolemOverlay	0	16	common	0	1	0	0	0	0	0	0	10	0	3	2	5	255	0	0	1	0			
valkyriestart	165	ValkarieEmerge	0	16	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
valkyrie	166	ValkarieGlow	0	20	common	1	1	5	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0			
whirlwind	167	BAWhirlwind01	0	8	barbarian	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0			
vampiresteal	168	VampiricHitHealth	0	8	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
fingermageflames	169	FingerMageFlames	0	14	monster	0	1	0	0	0	0	0	0	16	0	3	2	2	255	64	64	1	0			
warcry	170	WarcryHit	0	16	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
dopllezon_appear	171	DopplezonAppear	0	19	monster	0	1	0	0	0	0	0	0	16	0	3	1	4	255	255	255	1	0			
hydra_start1	172	HydraGroundFireStart	0	16	monster	0	1	-6	-11	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_start2	173	HydraGroundFireStart	0	16	monster	0	1	0	-7	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_start3	174	HydraGroundFireStart	0	16	monster	0	1	4	-15	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_loop1	175	HydraGroundFire	0	20	monster	0	1	-6	-11	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_loop2	176	HydraGroundFire	0	20	monster	0	1	0	-7	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_loop3	177	HydraGroundFire	0	20	monster	0	1	4	-15	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_end1	178	HydraGroundFireEnd	0	16	monster	0	1	-6	-11	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_end2	179	HydraGroundFireEnd	0	16	monster	0	1	0	-7	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
hydra_end3	180	HydraGroundFireEnd	0	16	monster	0	1	4	-15	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
light_jet	181	LIGHTJET	0	13	object	0	1	0	0	0	0	0	0	4	0	3	0	0	255	255	255	1	0			
horadric_light	182	HoradricLightBeam	0	21	object	0	1	0	0	0	0	0	0	5	0	3	0	0	255	255	255	1	0			
monfrenzy	183	FrenzyThornhulk	0	25	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
willowispdeath	184	willodeathoverlay	0	20	monster	0	1	0	0	0	0	0	0	20	0	3	1	4	178	178	178	1	0			
megademondeath	185	firedeath	0	20	monster	0	1	0	0	0	0	0	0	8	0	3	2	2	255	64	64	1	0			
light_cast_2	186	LightningCastRunesFront	0	10	sorceress	0	1	0	0	0	0	0	0	16	0	3	1	9	255	255	255	1	0			
undeadhorrordeath	187	UMFire	0	20	monster	0	1	0	0	0	0	0	0	16	0	3	2	2	255	255	255	1	0			
fetishdeath1	188	BoneFetishDeathBones	0	11	monster	0	1	0	0	0	0	0	0	16	0	5	0	0	255	255	255	1	0			
fetishdeath2	189	BoneFetishDeathCloud	0	10	monster	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
Expansion	xxx																									
psychic_hammer_hit	190	Expansion\PsyHammerHit	100	7	common	0	1	0	0	14	0	-14	-60	16	0	3	0	0	255	255	255	1	0			
psychic_hammer_curse	191	Expansion\PsyHammerOverlay	100	10	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
fist_will_cast	192	Expansion\PsyHammerOverlay	100	10	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
frontkick	193	Willodeathoverlay	100	20	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
druid_fire_cast_1	194	Expansion\Fire_Overlay_A	100	21	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
druid_fire_cast_2	195	Expansion\Fire_Overlay_B	100	21	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
arctic_blast_cast	196	Expansion\ColdWindOverlay	100	21	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
siege_beast_dust	197	Expansion\SeigeBeast_Dust	100	14	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
wolf_into	198	expansion\druidmorph	100	13	common	0	1	0	0	0	0	0	0	20	0	3	0	0	255	255	255	1	0			
wolf_undo	199	expansion\druidmorph	100	13	common	0	1	0	0	0	0	0	0	10	0	3	0	0	255	255	255	1	0			
bear_into	200	expansion\druidmorph	100	13	common	0	1	0	0	0	0	0	0	20	0	3	0	0	255	255	255	1	0			
bear_undo	201	expansion\druidmorph	100	13	common	0	1	0	0	0	0	0	0	10	0	3	0	0	255	255	255	1	0			
spawnedminion	202	Expansion\minionspawnover	100	20	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
bloodlust_state	203	BloodRipple	100	15	common	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
suicide_death	204	Expansion\Suicide_Death_Overlay	100	20	common	0	1	0	0	0	0	0	0	6	0	3	0	0	255	255	255	1	1			
oak_sage	205	Expansion\oak_sage_Aura	100	11	common	1	1	0	0	0	0	0	0	6	0	3	0	0	255	255	255	1	0			
volcano_flame	206	Expansion\volcano_Fire	100	29	common	0	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0			
cyclonearmor1front	207	Expansion\CycloneArmorAFront	100	11	druid	0	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0			
cyclonearmor1back	208	Expansion\CycloneArmorABack	100	11	druid	1	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0			
cyclonearmor2front	209	Expansion\CycloneArmorBFront	100	11	druid	0	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0			
cyclonearmor2back	210	Expansion\CycloneArmorBBack	100	11	druid	1	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0			
cyclonearmor3front	211	Expansion\CycloneArmorCFront	100	11	druid	0	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0			
cyclonearmor3back	212	Expansion\CycloneArmorCBack	100	11	druid	1	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0			
cloaked	213	Expansion\CloakOfShadows	100	16	common	0	1	0	0	-46	-60	-74	-120	16	0	3	1	2	255	210	210	1	0			
assassinfistimpact	214	Expansion\DeadlyFistHit	100	5	common	0	1	0	0	14	0	-14	-60	16	0	3	3	3	255	255	255	1	0			
assassinfootimpact	215	Expansion\DeadlyFistHit	100	5	common	0	1	0	0	14	0	-14	-60	16	0	3	3	3	255	255	255	1	0			
