name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Wand	wand		wnd	wnd	wnd	0		1	1	0	xxx			3	6									200				15		2	1	0	205	3910	1		wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255	5	8	0	ywn	bwn	1	0	
Yew Wand	wand		ywn	ywn	ywn	0		1	1	0	xxx			3	12								10	200				15		12	1	0	745	17440	1		ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20				1	20					255					255					255	5	8	0	bwn	gwn	1	0	
Bone Wand	wand		bwn	bwn	bwn	0		1	1	0	xxx			5	11								-20	200				15		18	1	0	1296	34828	1		bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20	3	4	2	3	20					255					255	3	4	2	3	20	1	2	0	xxx	xxx	1	0	
Grim Wand	wand		gwn	bwn	gwn	0		1	1	0	xxx			8	17									200				15		26	1	0	2098	70048	1		gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20	1	3	1	2	20					255					255	1	3	1	2	20	1	2	0	xxx	xxx	1	0	
Club	club		clb	clb	clb	0		1	1	0	xxx			2	9								-10	200				24		1	1	0	32	3032			clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	mac	mst	1	0	
Scepter	scep		scp	mac	scp	0		2	1	0	xxx			9	17									200		25		50		3	1	0	350	5050			scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20	2	2	0	gsc	wsp	1	0	
Grand Scepter	scep		gsc	mac	gsc	0		4	1	0	xxx			12	27							1	10	200		37		60		15	1	0	1109	26635			gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20	1	2	1	1	20					255					255	2	3	1	2	20	2	2	0	xxx	wsp	1	0	
War Scepter	scep		wsp	whm	wsp	0		4	1	0	xxx			15	26							1	-10	200		55		70		21	1	0	2323	61783			wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20	1	2	1	2	20					255					255	1	2	1	1	20	2	2	0	xxx	xxx	1	0	
Spiked Club	club		spc	clb	spc	0		3	1	0	xxx			8	12							1		200				36		4	1	0	225	5400			spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1		1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	mac	mst	1	0	
Mace	mace		mac	mac	mac	0		4	1	0	xxx			5	15									200		27		60		8	1	0	463	10204			mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3		1		1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	2	0	mst	mau	1	0	
Morning Star	mace		mst	mac	mst	0		4	1	0	xxx			11	24							1	10	200		36		72		13	1	0	844	19972			mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	fla	1	0	
Flail	mace		fla	fla	fla	0		4	1	0	xxx			2	36							2	-10	200		41	35	30		19	1	0	1412	38828			fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	xxx	gma	1	0	
War Hammer	hamm		whm	whm	whm	0		4	1	0	xxx			29	44								20	220		53		55		25	1	0	2081	67025			whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	mau	gma	1	0	
Maul	hamm	2han	mau	mau	mau	0		4	1	0	xxx						1	45	65			1	10	220		69		60		21	1	0	1670	48070			mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	xxx	mau	1	0	
Great Maul	hamm	2han	gma	mau	gma	0		3	1	0	xxx						1	57	87			2	20	220		99		60		32	1	0	3215	121380			gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255	2	2	0	xxx	xxx	1	0	
Short Sword	swor		ssd	ssd	ssd	0		3	1	0	xxx			3	11									200				24		1	1	0	72	3072			ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	scm	wsd	1	0	
Scimitar	swor		scm	scm	scm	0		3	1	0	xxx			3	9								-20	200			21	22		5	1	0	274	6370			scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	sbr	lsd	1	0	
Saber	swor		sbr	scm	sbr	0		3	1	0	xxx			5	12								-10	200		25	25	32		8	1	0	466	10228			sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	1	2	0	flc	bsd	1	0	
Falchion	swor		flc	flc	flc	0		4	1	0	xxx			14	26								20	200		33		32		11	1	0	683	15513			flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	bsd	wsd	1	0	
Crystal Sword	swor		crs	crs	crs	0		2	1	0	xxx			8	23							1		200		43		20		11	1	0	2127	31397			crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255	1	8	0	xxx	xxx	1	0	
Broad Sword	swor		bsd	bsd	bsd	0		4	1	0	xxx			11	21									200		48		32		15	1	0	1029	25435			bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	lsd	wsd	1	0	
Long Sword 	swor		lsd	lsd	lsd	0		4	1	0	xxx			5	29							1	-10	200		55	39	44		20	1	0	1520	42900			lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255	1	2	0	wsd	wsd	1	0	
War Sword	swor		wsd	flc	wsd	0		4	1	0	xxx			12	30							1		200		71	45	44		27	1	0	1997	69919			wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20	1	2	0	xxx	xxx	1	0	
Two-Handed Sword	swor	2han	2hs	clm	2hs	0		4	1	0	xxx			3	14	1	1	12	26			2		200		35	27	44		10	1	0	644	13940			2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	clm	gis	1	0	
Claymore	swor	2han	clm	clm	clm	0		4	1	0	xxx			8	18	1	1	20	45			2	10	200		47		50		17	1	0	1262	32454			clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	gis	bsw	1	0	
Giant Sword	swor	2han	gis	gsd	gis	0		4	1	0	xxx			5	24	1	1	14	42			2		200		56	34	50		21	1	0	1459	43639			gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	1	2	0	bsw	flb	1	0	
Bastard Sword	swor	2han	bsw	clm	bsw	0		4	1	0	xxx			11	29	1	1	30	42			1	10	200		62		40		24	1	0	1971	61804			bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255	1	2	0	xxx	xxx	1	0	
Flamberge	swor	2han	flb	clm	flb	0		4	1	0	xxx			14	23	1	1	20	39			2	-10	200		70	49	50		27	1	0	2400	80800			flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0	
Great Sword	swor	2han	gsd	gsd	gsd	0		4	1	0	xxx			18	30	1	1	38	63			2	10	200		100	60	50		33	1	0	3451	132883			gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0	
Dagger	knif		dgr	dgr	dgr	0		2	1	0	xxx			2	6								-20	150	150			16		3	1	0	60	4180			dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	kri	bld	1	0	
Dirk	knif		dir	dir	dir	0		2	1	0	xxx			5	14									150	150		25	20		9	1	0	532	11788			dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	kri	bld	1	0	
Kriss	knif		kri	dir	kri	0		2	1	0	xxx			3	17								-20	150	150		45	24		17	1	0	1227	31859			kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255			1	2	20			1	1	20					255					255			1	1	20	1	2	0	xxx	xxx	1	0	
Blade	knif		bld	dgr	bld	0		3	1	0	xxx			6	23								-10	150	150	35	51	24		23	1	0	1764	54572			bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255			1	2	20	1	1	1	1	20					255					255	1	1	1	1	20	1	2	0	xxx	xxx	1	0	
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1	0	xxx			3	5					6	14			150	150		21	4		2	1	0	6	3512			tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	60	240	120	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			255	1	2			20					255					255					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	1	2	0	bkf	bkf	1	0	
Throwing Axe	taxe		tax	hax	tax	0		2	1	0	xxx			6	11					12	18		10	150	150		40	6		7	1	0	11	6077			tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	24	200	48	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			255	1	2			20					255	1	1			20					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	2	2	0	bal	bal	1	0	
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1	0	xxx			2	12					9	17		-20	150	150		51	8		13	1	0	15	9195			bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	45	240	90	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20	1	2	0	xxx	xxx	1	0	
Balanced Axe	taxe		bal	hax	bal	0		2	1	0	xxx			8	15					18	23		-10	150	150		57	10		16	1	0	35	11060			bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	24	200	36	flpbal	invbal			1	4	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20	2	2	0	xxx	xxx	1	0	
Javelin	jave		jav	jav	jav	0		4	1	0	xxx			2	8					9	21	2	-10	150	150			2		1	1	0	5	3005			jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	45	90	90	flpjav	invjav			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			255	1	2			20					255					255					255					255					20					255					255	1	2			1	1	1			255					255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	glv	glv	1	0	
Pilum	jave		pil	pil	pil	0		4	1	0	xxx			6	14					11	30	2		150	150		45	3		10	1	0	18	7680			pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	75	75	flppil	invpil			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255	1	1			20					255	1	1			20					255					255					20					255					255	1	2			1	1	1			255	1	1			255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	tsp	tsp	1	0	
Short Spear	jave		ssp	jav	ssp	0		4	1	0	xxx			3	20					15	33	2	10	150	150	40	40	4		15	1	0	24	10360			ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	60	60	flpssp	invssp			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					255			1	2	30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	0	tsp	tsp	1	0	
Glaive	jave		glv	glv	glv	0		4	1	0	xxx			8	26					24	33	2	20	150	150	52	35	5		23	1	0	36	14828			glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	24	60	60	flpglv	invglv			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	1	2	0	xxx	xxx	1	0	
