Id	*hcIdx	Height	OverlayHeight	pixHeight	SizeX	SizeY	spawnCol	MeleeRng	BaseW	HitClass	HDv	TRv	LGv	Rav	Lav	RHv	LHv	SHv	S1v	S2v	S3v	S4v	S5v	S6v	S7v	S8v	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	mDT	mNU	mWL	mGH	mA1	mA2	mBL	mSC	mS1	mS2	mS3	mS4	mDD	mKB	mSQ	mRN	dDT	dNU	dWL	dGH	dA1	dA2	dBL	dSC	dS1	dS2	dS3	dS4	dDD	dKB	dSQ	dRN	A1mv	A2mv	SCmv	S1mv	S2mv	S3mv	S4mv	noGfxHitTest	htTop	htLeft	htWidth	htHeight	restore	automapCel	noMap	noOvly	isSel	alSel	noSel	shiftSel	corpseSel	isAtt	revive	limitCorpses	critter	small	large	soft	inert	objCol	deadCol	unflatDead	Shadow	noUniqueShift	compositeDeath	localBlood	Bleed	Light	light-r	light-g	light-b	Utrans	Utrans(N)	Utrans(H)	InfernoLen	InfernoAnim	InfernoRollback	ResurrectMode	ResurrectSkill	SpawnUniqueMod	*eol
bighead1	10	3	3	96	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	1		255	255	255				1			NU			0
bighead2	11	3	3	96	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	1		255	255	255				1			NU			0
bighead3	12	3	3	96	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	1		255	255	255				1			NU			0
bighead4	13	3	3	96	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	1		255	255	255				1			NU			0
bighead5	14	3	3	96	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	1		255	255	255				1			NU			0
foulcrow1	15	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			2	1		255	255	255				1			NU			0
foulcrow2	16	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			2	1		255	255	255				1			NU			0
foulcrow3	17	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			2	1		255	255	255				1			NU			0
foulcrow4	18	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			2	1		255	255	255				1			NU			0
fallen1	19	1	1	64	2	2		0	hth	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1		1	1	1		255	255	255				1			S1			0
fallen2	20	1	1	64	2	2		0	hth	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1		1	1	1		255	255	255				1			S1			0
fallen3	21	1	1	64	2	2		0	hth	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1		1	1	1		255	255	255				1			S1			0
fallen4	22	1	1	64	2	2		0	hth	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1		1	1	1		255	255	255				1			S1			0
fallen5	23	1	1	64	2	2		0	hth	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1		1	1	1		255	255	255				1			S1			0
brute2	24	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	2		255	255	255				1			NU			0
brute3	25	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	2		255	255	255				1			NU			0
brute4	26	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	2		255	255	255				1			NU			0
brute5	27	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	2		255	255	255				1			NU			0
brute1	28	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1			2	2		255	255	255				1			NU			0
sandraider1	29	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1				1		255	255	255				1			NU			0
sandraider2	30	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1				1		255	255	255				1			NU			0
sandraider3	31	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1				1		255	255	255				1			NU			0
sandraider4	32	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1				1		255	255	255				1			NU			0
sandraider5	33	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1				1		255	255	255				1			NU			0
gorgon1	34	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1											1				1		255	255	255				1			NU			0
gorgon2	35	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1											1				1		255	255	255				1			NU			0
gorgon3	36	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1											1				1		255	255	255				1			NU			0
gorgon4	37	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1											1				1		255	255	255				1			NU			0
wraith1	38	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1																255	255	255				1			NU			0
wraith2	39	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1																255	255	255				1			NU			0
wraith3	40	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1																255	255	255				1			NU			0
wraith4	41	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1																255	255	255				1			NU			0
wraith5	42	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1																255	255	255				1			NU			0
corruptrogue1	43	3	2	80	2	2		0	1hs	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1		1		255	255	255				1			NU			0
corruptrogue2	44	3	2	80	2	2		0	1hs	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1		1		255	255	255				1			NU			0
corruptrogue3	45	3	2	80	2	2		0	1hs	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1		1		255	255	255				1			NU			0
corruptrogue4	46	3	2	80	2	2		0	1hs	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1		1		255	255	255				1			NU			0
corruptrogue5	47	3	2	80	2	2		0	1hs	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1		1		255	255	255				1			NU			0
baboon1	48	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
baboon2	49	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
baboon3	50	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
baboon4	51	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
baboon5	52	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
goatman1	53	3	2	96	2	2		0	2hs	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
goatman2	54	3	2	96	2	2		0	2hs	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
goatman3	55	3	2	96	2	2		0	2hs	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
goatman4	56	3	2	96	2	2		0	2hs	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
goatman5	57	3	2	96	2	2		0	2hs	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
fallenshaman1	58	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1	5	230	168	255				1			NU			0
fallenshaman2	59	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1	5	230	168	255				1			NU			0
fallenshaman3	60	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1	5	230	168	255				1			NU			0
fallenshaman4	61	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1	5	230	168	255				1			NU			0
fallenshaman5	62	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1	5	230	168	255				1			NU			0
quillrat1	63	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1		255	255	255				1			NU			0
quillrat2	64	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1		255	255	255				1			NU			0
quillrat3	65	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1		255	255	255				1			NU			0
quillrat4	66	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1		255	255	255				1			NU			0
quillrat5	67	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1		1					1			1	1		255	255	255				1			NU			0
sandmaggot1	68	1	1	48	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1						255	255	255				1			NU			0
sandmaggot2	69	1	1	48	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1						255	255	255				1			NU			0
sandmaggot3	70	1	1	48	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1						255	255	255				1			NU			0
sandmaggot4	71	1	1	48	3	3		0	hth	3		lit							med									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1						255	255	255				1			NU			0
sandmaggot5	72	1	1	48	3	3		0	hth	3		lit							med									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1	1					1						255	255	255				1			NU			0
clawviper1	73	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
clawviper2	74	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
clawviper3	75	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
clawviper4	76	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
clawviper5	77	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1			1	1		255	255	255				1			NU			0
sandleaper1	78	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1						1					1			2	1		255	255	255				1			NU			0
sandleaper2	79	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1						1					1			2	1		255	255	255				1			NU			0
sandleaper3	80	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1						1					1			2	1		255	255	255				1			NU			0
sandleaper4	81	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1						1					1			2	1		255	255	255				1			NU			0
sandleaper5	82	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1						1					1			2	1		255	255	255				1			NU			0
pantherwoman1	83	3	2	96	2	2		0	hth	3	"lit,bab,fan,pha,pon"	"lit,med,hvy"		"lit,med,hvy"	"lit,med,hvy"		whp	buc	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	bld				1	1		1	1		1	1	1	1	1	1	1				11	1	1	1	1	1		1						1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
pantherwoman2	84	3	2	96	2	2		0	hth	3	"lit,bab,fan,pha,pon"	"lit,med,hvy"		"lit,med,hvy"	"lit,med,hvy"		whp	buc	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	bld				1	1		1	1		1	1	1	1	1	1	1				11	1	1	1	1	1		1						1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	1	1		255	255	255				1			NU			0
